OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
4674304,04092015842,YUM YUM THAI CUISINE,1861 N HARRISON AVE ,,CARY,NC,27513,(919) 677-1166,2010/12/17 00:00:00+00,Restaurant,12109,-78.76757274,35.83022565,M,
4674305,04092021696,PULLEN PLACE CAFE & CATERING,520 ASHE AVE ,,RALEIGH,NC,27606,(919) 829-7180,2011/11/15 00:00:00+00,Food Stand,12524,-78.66378571,35.78166259,M,
4674306,04092016045,Mandolin,2519 Fairview RD ,,RALEIGH,NC,27608,(919) 322-0365,2011/11/16 00:00:00+00,Restaurant,12517,-78.65518655,35.80902966,M,
4674307,04092016057,JACK'S SEAFOOD,5416 ROCK QUARRY RD ,STE 103,RALEIGH,NC,27610,(919) 329-8125,2011/12/06 00:00:00+00,Restaurant,12541,-78.56010141,35.73196384,M,
4674308,04092016052,JD'S TAVERN,800 W WILLIAMS ST ,,APEX,NC,27502,(919) 629-7285,2011/11/23 00:00:00+00,Restaurant,12532,-78.86480258,35.73964977,M,
4674309,04092016059,PORT CITY JAVA PARK SHOPS,101 CURRENT DR ,,RALEIGH,NC,27695,(919) 515-0238,2011/12/08 00:00:00+00,Restaurant,12543,-78.67872314,35.78447976,M,
4674310,04092016061,MCDONALD'S # 16326,2900 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3625,2011/12/09 00:00:00+00,Restaurant,12550,-78.37967072,35.79230075,M,
4674311,04092016069,SUBWAY #29952,5412 APEX PEAKWAY ,,APEX,NC,27502,(919) 362-7976,2011/12/15 00:00:00+00,Restaurant,12558,-78.86537408,35.73684286,M,
4674312,04092016062,MCDONALD'S #11646,7141 KNIGHTDALE  BLVD ,,KNIGHTDALE,NC,27545,(919) 266-6700,2011/12/09 00:00:00+00,Restaurant,12551,-78.48855644,35.79878016,M,
4674313,04092016073,The Garden Grille & Bar (at Hilton Garden Inn),131 COLUMBUS AVE ,,CARY,NC,27518,(919) 377-0440,2011/12/21 00:00:00+00,Restaurant,12562,-78.73638403,35.75644435,M,
4674314,04092016072,SASSOOL,9650 STRICKLAND RD ,STE 149,RALEIGH,NC,27615,(919) 847-2700,2011/12/20 00:00:00+00,Restaurant,12561,-78.65622554,35.90356681,M,
4674315,04092021698,SUVIDHA,3735  DAVIS DR ,,MORRISVILLE,NC,27560,(919) 650-1436,2011/12/21 00:00:00+00,Food Stand,12564,-78.85587824,35.83375442,M,
4674316,04092016084,MCDONALDS #18373,415 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 556-7686,2012/01/12 00:00:00+00,Restaurant,12685,-78.46701468,35.91701398,M,
4674317,04092016077,CHINA CARY,2972 Kildaire Farm RD,,CARY,NC,27511,(919) 363-5688,2012/01/04 00:00:00+00,Restaurant,12596,-78.78870059,35.71809477,M,
4674318,04092016087,YAMATO,700 E WILLIAMS ST ,,APEX,NC,27502,(919) 303-8088,2012/01/17 00:00:00+00,Restaurant,12690,-78.84651358,35.72361102,M,
4674319,04092016089,OVER THE FALLS,419 S BROOKS ST ,,WAKE FOREST,NC,27587,(919) 570-8588,2012/01/20 00:00:00+00,Restaurant,12692,-78.50875692,35.97419021,M,
4674320,04092016091,ENRIGO ITALIAN BISTRO,575 New Waverly PL ,STE 106,CARY,NC,27518,(919) 854-7731,2012/01/25 00:00:00+00,Restaurant,12694,-78.77756452,35.73853427,M,
4674321,04092016096,SHEETZ #481,505 WENDELL  BLVD ,,WENDELL,NC,27591,(919) 365-9032,2012/01/30 00:00:00+00,Restaurant,12708,-78.42070571,35.804091,M,
4674322,04092021700,JET'S PIZZA,1253 NW MAYNARD RD ,,CARY,NC,27513,(919) 469-4949,2012/01/25 00:00:00+00,Food Stand,12696,-78.81241251,35.78438851,M,
4674323,04092016097,HYATT PLACE,710 CORPORATE CENTER DR ,,RALEIGH,NC,27607,(919) 233-2205,2012/01/31 00:00:00+00,Restaurant,12709,-78.7380576,35.79191292,M,
4674324,04092016100,SLICE OF N. Y. PIZZA,1016  Shoppes at Midway ,STE H,KNIGHTDALE,NC,27545,(919) 261-9478,2012/02/06 00:00:00+00,Restaurant,12712,-78.50727643,35.79842841,M,
4674325,04092016107,PORT CITY JAVA NELSON,2801 FOUNDERS DR ,,RALEIGH,NC,27695,(919) 515-0458,2012/02/23 00:00:00+00,Restaurant,12720,-78.67872314,35.78447976,M,
4674326,04092016110,CHICK-FIL-A #2850,2000  CAMERON ST ,,RALEIGH,NC,27605,(919) 821-1155,2012/02/23 00:00:00+00,Restaurant,12722,-78.65851138,35.7914175,M,
4674327,04092021701,PAPA JOHN'S,5007 WINSTON HILL DR ,,CARY,NC,27513,(919) 380-7272,2012/02/16 00:00:00+00,Food Stand,12727,-78.84641274,35.79047276,M,
4674328,04092016105,THE GARDEN ON MILLBROOK,2400 E MILLBROOK RD ,,RALEIGH,NC,27604-2806,(919) 790-8900,2012/02/15 00:00:00+00,Restaurant,12717,-78.59604248,35.84755141,M,
4674329,04092030238,EL PARAISO MEXICAN FOOD (WCID #242),1505 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 859-2544,2012/03/01 00:00:00+00,Mobile Food Units,12733,-78.63041881,35.80238791,M,
4674330,04092016117,JASMIN BISTRO,3801 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 835-1626,2012/02/29 00:00:00+00,Restaurant,12775,-78.6885627,35.79387526,M,
4674331,04092110496,ROLESVILLE MIDDLE SCHOOL CAFE,4700 BURLINGTON MILLS RD ,,ROLESVILLE,NC,27571,(919) 570-2260 ext. 20288,2012/03/07 00:00:00+00,Public School Lunchrooms,12807,-78.4808036,35.9142948,M,
4674332,04092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 876-4545,2012/03/01 00:00:00+00,Restaurant,12776,-78.62251588,35.86923291,M,
4674333,04092016130,HIGHGROVE ESTATE,1613  S MAIN ST ,,FUQUAY VARINA,NC,27526,(919) 552-6154,2012/03/07 00:00:00+00,Restaurant,12812,-78.80703969,35.55650081,M,
4674334,04092021702,HARRIS TEETER #136 PRODUCE,9600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 676-6614,2012/03/09 00:00:00+00,Food Stand,12809,-78.60013448,35.90523089,M,
4674335,04092016135,LOS TRES MAGUEYES,10120 GREEN LEVEL CHURCH  RD ,,CARY,NC,27519,(919) 967-5444,2012/03/16 00:00:00+00,Restaurant,12817,-78.90107972,35.82060442,M,
4674336,04092016133,HIBACHI CHINA BUFFET,2909  E MILLBROOK RD ,,RALEIGH,NC,27604,(919) 878-5688,2012/03/16 00:00:00+00,Restaurant,12815,-78.58213499,35.85057474,M,
4674337,04092016125,PANERA BREAD #1649,7840 ALEXANDER PROMENADE PL ,Ste 100,RALEIGH,NC,27617,(919) 293-0900,2012/03/28 00:00:00+00,Restaurant,12821,-78.77695584,35.91424048,M,
4674338,04092016126,PANERA BREAD #1650,1001 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 589-0026,2012/03/27 00:00:00+00,Restaurant,12822,-78.87238782,35.74374594,M,
4674339,04092021703,S & S HALAL MEAT,3735 DAVIS DR ,STE 101,MORRISVILLE,NC,27560,(919) 650-1646,2012/03/20 00:00:00+00,Food Stand,12825,-78.85587824,35.83375442,M,
4674340,04092016123,PANERA BREAD #1644,4421 SIX FORKS RD,STE 119,RALEIGH,NC,27609-5771,(919) 781-1112,2012/03/27 00:00:00+00,Restaurant,12823,-78.64349731,35.8401699,M,
4674341,04092016139,SOLA COFFEE & CAFE,7705 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 803-8983,2012/03/21 00:00:00+00,Restaurant,12828,-78.65998321,35.88527957,M,
4674342,04092016121,Panera Bread #1642,2234 Walnut  ST ,,CARY,NC,27511,(919) 233-2221,2012/03/28 00:00:00+00,Restaurant,12831,-78.74288194,35.7554271,M,
4674343,04092016141,PANERA BREAD #1656,8511 COLONNADE CENTER DR ,STE 110,RALEIGH,NC,27615,(919) 861-9300,2012/03/26 00:00:00+00,Restaurant,12833,-78.65023579,35.89889531,M,
4674344,04092016143,SHEETZ #480,600 CORPORATE CENTER DR ,,RALEIGH,NC,27607,(919) 859-9577,2012/03/27 00:00:00+00,Restaurant,12835,-78.73922078,35.78976201,M,
4674345,04092016144,PANERA BREAD #1648,6123 CAPITAL BLVD ,,RALEIGH,NC,27616,(919) 865-1965,2012/03/28 00:00:00+00,Restaurant,12836,-78.5830954,35.86881664,M,
4674346,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 00:00:00+00,Restaurant,12844,-78.67872314,35.78447976,M,
4674347,04092016145,BUFFALO WILD WINGS #357,1300 VILLAGE MARKET PL ,,MORRISVILLE,NC,27560,(919) 469-7872,2012/03/28 00:00:00+00,Restaurant,12837,-78.81477626,35.80605318,M,
4674348,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 00:00:00+00,Restaurant,12847,-78.63943264,35.78220966,M,
4674349,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 00:00:00+00,Restaurant,12853,-78.57953607,35.76724392,M,
4674350,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 00:00:00+00,Restaurant,12857,-78.81676084,35.80454792,M,
4674351,04092016169,NET APP CAFE BLDG3,7301 KIT CREEK RD ,BLDG 3,MORRISVILLE,NC,27560,(919) 476-5671,2012/04/20 00:00:00+00,Restaurant,12861,-78.88578599,35.85727866,M,
4674352,04092015783,JUMBO CHINA RESTUARANT ,1518 BROAD ST ,,FUQUAY VARINA,NC,27526-8363,(919) 577-7098,2011/08/12 00:00:00+00,Restaurant,12868,-78.80247593,35.60486538,M,
4674353,04092016016,CHINA UNO,308  VILLAGE WALK  DR ,,HOLLY SPRINGS,NC,27540,(919) 557-9888,2011/10/11 00:00:00+00,Restaurant,12881,-78.83920975,35.63987629,M,
4674354,04092015780,"CRISTO'S NY STYLE PIZZA, LLC",1302 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 872-6797,2011/08/11 00:00:00+00,Restaurant,12876,-78.61557773,35.84978383,M,
4674355,04092015995,THE BIG EASY,231 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 468-6007,2011/11/07 00:00:00+00,Restaurant,12883,-78.78057485,35.80470293,M,
4674356,04092021705,EMPIRE EATS CATERING KITCHEN,415 ROYAL ST ,,RALEIGH,NC,27607,(919) 600-3688,2012/05/10 00:00:00+00,Food Stand,12904,-78.68760395,35.79365959,M,
4674357,04092016150,DAIRY QUEEN ORANGE JULIUS,8321 BRIER CREEK PKY ,STE 101,RALEIGH,NC,27617,(919) 484-2230,2012/05/04 00:00:00+00,Restaurant,12900,-78.78334835,35.9068519,M,
4674358,04092016183,Lazeez Indian Restaurant,1318 S MAIN ST ,STE 132,WAKE FOREST,NC,27587,(919) 435-8880,2012/05/08 00:00:00+00,Restaurant,12914,-78.51926333,35.9609338,M,
4674359,04092016180,POOR BOY GENERAL STORE AND GRILL,5804  POOR BOY FARM RD ,,KNIGHTDALE,NC,27545,(919) 217-2500,2012/05/04 00:00:00+00,Restaurant,12920,-78.44826736,35.75699359,M,
4674360,04092016188,BURGER KING #6063,1299 N MAIN ST ,,FUQUAY VARINA,NC,27526,(919) 552-1045,2012/05/31 00:00:00+00,Restaurant,12923,-78.77869436,35.59222172,M,
4674361,04092016184,MURPHY DINING HALL,4600 TRINITY RD ,WENDELL MURPHY FOOTBALL CENTER,RALEIGH,NC,27695,(919) 513-7423,2012/05/15 00:00:00+00,Restaurant,12924,-78.71758269,35.80167817,M,
4674362,04092016189,BURGER KING #17359,851 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-0650,2012/05/31 00:00:00+00,Restaurant,12928,-78.83499326,35.6388402,M,
4674363,04092016202,Aversboro Restaurant and Sports Bar,1411 AVERSBORO RD ,STE 105,GARNER,NC,27529,(919) 779-6661,2012/06/08 00:00:00+00,Restaurant,12954,-78.61586582,35.69428077,M,
4674364,04092300256,LAS TRES FRONTERAS SUPER MERCADO,748 E CHATHAM  ST ,,CARY,NC,27511,(919) 380-3592,2012/05/22 00:00:00+00,Meat Market,12936,-78.76514284,35.79157176,M,
4674365,04092016203,NEW RAINBOW GARDEN,407 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 554-8838,2012/06/08 00:00:00+00,Restaurant,12955,-78.46472902,35.91731905,M,
4674366,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 00:00:00+00,Food Stand,12964,-78.63936489,35.77440851,M,
4674367,04092016222,SUBWAY #41211,922 GATEWAY COMMON CIR ,,WAKE FOREST,NC,27587,(919) 562-5700,2012/07/09 00:00:00+00,Restaurant,12996,-78.49517643,35.96733271,M,
4674368,04092016217,HARRIS TEETER #136 DELI,9600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 676-6614,2012/07/02 00:00:00+00,Restaurant,12988,-78.60013448,35.90523089,M,
4674369,04092016223,MCDONALDS #35357,1001 FORESTVILLE  RD ,,WAKE FOREST,NC,27587,(919) 554-8094,2012/07/11 00:00:00+00,Restaurant,12997,-78.50623234,35.94490296,M,
4674370,04092021712,HARRIS TEETER #136 MEAT MARKET/SEAFOOD,9600 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 676-6614,2012/07/10 00:00:00+00,Food Stand,12998,-78.60013448,35.90523089,M,
4674371,04092300258,JERUSALEM MEAT MARKET,2233 AVENT FERRY RD ,STE 101,RALEIGH,NC,27606,(919) 821-5499,2012/07/20 00:00:00+00,Meat Market,13011,-78.67605304,35.77835842,M,
4674372,04092016233,MAR-Y-SOL II,1310 CORPORATION PKY ,,RALEIGH,NC,27610-1363,(919) 212-8100,2012/08/03 00:00:00+00,Restaurant,13027,-78.567803,35.79794409,M,
4674373,04092090014,FIVE POINTS CENTER FOR ACTIVE ADULTS,2000 NOBLE RD ,,RALEIGH,NC,27608,,2012/07/13 00:00:00+00,Elderly Nutrition Sites (catered),13034,-78.63490464,35.80838233,M,
4674374,04092016240,SUBWAY #52435,1310 FIFTH  AVE ,STE 120,GARNER,NC,27529,(919) 773-9033,2012/08/20 00:00:00+00,Restaurant,13037,-78.62185674,35.70948085,M,
4674375,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 00:00:00+00,Restaurant,13056,-78.72588545,35.62516146,M,
4674376,04092016248,BIDA MANDA,222 S BLOUNT ST ,,RALEIGH,NC,27601,(919) 829-9999,2012/08/28 00:00:00+00,Restaurant,13067,-78.63692681,35.77726159,M,
4674377,04092016148,Taipei Authentic Chinese Cuisine,121 E Chatham ST ,,CARY,NC,27511,(919) 388-5885,2012/04/18 00:00:00+00,Restaurant,13059,-78.78052085,35.78769243,M,
4674378,04092016251,ANNAS PIZZERIA,138 S MAIN ST ,,FUQUAY VARINA,NC,27526,(919) 285-2497,2012/09/04 00:00:00+00,Restaurant,13070,-78.80003668,35.58309396,M,
4674379,04092016252,HAMPTON INN WAKE FOREST HOT BREAKFAST,12318 WAKE UNION CHURCH RD ,,WAKE FOREST,NC,27587,(919) 554-0222,2012/09/07 00:00:00+00,Restaurant,13071,-78.54222908,35.9810848,M,
4674380,04092016246,STARBUCKS #8214,6176 FALLS OF NEUSE RD ,#100,RALEIGH,NC,27609,(919) 873-9615,2012/08/23 00:00:00+00,Restaurant,13081,-78.62018089,35.86656916,M,
4674381,04092016265,ACRO CAFE,11 W JONES ST ,,RALEIGH,NC,27601,(919) 733-7450,2012/09/14 00:00:00+00,Restaurant,13097,-78.63943264,35.78220966,M,
4674382,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 00:00:00+00,Restaurant,13093,-78.63994698,35.83691241,M,
4674383,04092016267,China King,313 Crossroads BLVD ,,CARY,NC,27518,(919) 233-8385,2012/10/01 00:00:00+00,Restaurant,13124,-78.73871469,35.76064643,M,
4674384,04092030245,LA FARM BREAD TRUCK (WCID #442),4150 MAIN AT NORTH HILLS ,,RALEIGH,NC,27609,(919) 657-0657,2012/09/07 00:00:00+00,Mobile Food Units,13104,-78.64297679,35.83719099,M,
4674385,04092016269,CHIPOTLE #1946,1516 VILLAGE MARKET  PL ,,MORRISVILLE,NC,27560,(919) 238-3971,2012/09/27 00:00:00+00,Restaurant,13214,-78.81676084,35.80454792,M,
4674386,04092016273,KUMBALA BAR & GRILL,3945 NEW BERN  AVE ,RALEIGH,RALEIGH,NC,27610,(919) 231-0335,2012/10/05 00:00:00+00,Restaurant,13218,-78.57014675,35.800455,M,
4674387,04092016270,DOHERTY'S IRISH PUB & RESTAURANT,1979 HIGH HOUSE RD ,,CARY,NC,27519,(919) 388-9930,2012/10/01 00:00:00+00,Restaurant,13216,-78.84865558,35.78922067,M,
4674388,04092016279,GUASACA AREPA & SALSA GRILL,4025 LAKE BOONE TRL ,#107,RALEIGH,NC,27607,(919) 322-4928,2012/10/16 00:00:00+00,Restaurant,13224,-78.6970997,35.81457601,M,
4674389,04092021721,WALMART 4157 NEIGHBORHOOD MARKET DELI,2750 NC 55  HWY ,,CARY,NC,27519,(919) 335-0051,2012/09/28 00:00:00+00,Food Stand,13225,-78.8696779,35.78629718,M,
4674390,04092016281,BI CAFE,5000 DAVIS DR ,BLDG 26,MORRISVILLE,NC,27560,(919) 993-1925,2012/10/17 00:00:00+00,Restaurant,13244,-78.86834433,35.86068133,M,
4674391,04092016299,AGGIE'S GRILL STATION,3027 CAPITAL  BLVD ,STE 101,RALEIGH,NC,27604,(919) 790-6688,2012/11/02 00:00:00+00,Restaurant,13277,-78.59154908,35.82214441,M,
4674392,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 00:00:00+00,Restaurant,13268,-78.67444996,35.78960042,M,
4674393,04092016306,WINGATE BY WYNDHAM BREAKFAST,1542 MECHANICAL BLVD ,,GARNER,NC,27529,(919) 779-7441,2012/11/16 00:00:00+00,Restaurant,13284,-78.64395073,35.72536576,M,
4674394,04092030247,VIRGIL'S JAMAICA (WCID #443),2101  S Main ST ,,Wake Forest,NC,27587,(919) 562-5570,2012/11/19 00:00:00+00,Mobile Food Units,13288,-78.53310175,35.94801797,M,
4674395,04092016307,CHILI'S #1534,1201 MARKET CENTER DR ,,MORRISVILLE,NC,27560,(919) 468-3290,2012/11/21 00:00:00+00,Restaurant,13293,-78.81676084,35.80454792,M,
4674396,04092016311,Hampton Inn & Suites Food Service,600 GLENWOOD AVE ,,RALEIGH,NC,27603,(919) 825-4770,2012/11/27 00:00:00+00,Restaurant,13301,-78.64657439,35.78751192,M,
4674397,04092021728,BARRON'S DELI,5420 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 772-4839,2012/12/03 00:00:00+00,Food Stand,13326,-78.66356105,35.70535002,M,
4674398,04092016321,La Quinta Inn & Suites Foodservice,2610 WESTINGHOUSE BLVD ,,RALEIGH,NC,27604,(919) 821-0888,2012/12/11 00:00:00+00,Restaurant,13313,-78.59714191,35.81624833,M,
4674399,04092016327,VILLAGE DELI & GRILL,909 AVIATION PKY ,,MORRISVILLE,NC,27560-8487,(919) 462-6191,2013/01/02 00:00:00+00,Restaurant,13327,-78.81391983,35.83559841,M,
4674400,04092016329,Best Western Plus Breakfast,6209 GLENWOOD AVE ,,RALEIGH,NC,27612,(919) 782-1112,2013/01/20 00:00:00+00,Restaurant,13332,-78.70428645,35.85617199,M,
4674401,04092016331,SUBWAY #55675,234 FAYETTEVILLE  ST ,,RALEIGH,NC,27601,(919) 615-2670,2012/12/21 00:00:00+00,Restaurant,13334,-78.63957497,35.77712668,M,
4674402,04092016332,ASIAN GARDEN,242 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 462-8598,2012/12/27 00:00:00+00,Restaurant,13335,-78.78057485,35.80470293,M,
4674403,04092016333,BAD DADDY'S BURGER BAR,111 SEABOARD AVE ,,RALEIGH,NC,27604,(919) 747-9163,2012/12/27 00:00:00+00,Restaurant,13337,-78.64016631,35.78861051,M,
4674404,04092016334,UNITED SKATES CAFE,2901 TRAWICK RD ,,RALEIGH,NC,27604-3754,(919) 790-3808,2013/01/08 00:00:00+00,Restaurant,13338,-78.58934581,35.82028016,M,
4674405,04092016337,THE CARY PUB,6454  TRYON  RD ,,CARY,NC,27518,(919) 859-1070,2013/01/18 00:00:00+00,Restaurant,13352,-78.76155635,35.7455991,M,
4674406,04092016338,HAMPTON INN & SUITES CRABTREE RALEIGH KITCHEN,3920 ARROW DR ,,RALEIGH,NC,27612,(919) 881-7080,2013/01/04 00:00:00+00,Restaurant,13358,-78.67284929,35.83620099,M,
4674407,04092016339,CHANELLO'S PIZZA OF GARNER,3608 BENSON RD ,,GARNER,NC,27529,(919) 771-1000,2013/01/07 00:00:00+00,Restaurant,13359,-78.61154057,35.63067753,M,
4674408,04092021730,THE CATERING WORKS,2319 LAURELBROOK ST ,,RALEIGH,NC,27604,(919) 828-5932,2013/01/07 00:00:00+00,Food Stand,13342,-78.61526306,35.81200857,M,
4674409,04092300260,COMPARE FOODS MARKET,301 E WILLIAMS ST ,,APEX,NC,27502-2146,(919) 362-7949,2013/01/24 00:00:00+00,Meat Market,13368,-78.85082058,35.7263926,M,
4674410,04092016212,ABBEY ROAD TAVERN & GRILL,1195 W CHATHAM ST ,,CARY,NC,27513,(919) 481-4434,2012/07/16 00:00:00+00,Restaurant,13373,-78.80690367,35.77079809,M,
4674411,04092016347,TROPHY BREWING CO,827 W MORGAN ST ,,RALEIGH,NC,27603,(919) 803-4849,2013/01/04 00:00:00+00,Restaurant,13380,-78.65337738,35.77970792,M,
4674412,04092300261,CARLIE C'S MEAT,4111 NEW BERN AVE ,,RALEIGH,NC,27610-1372,(919) 250-7876,2013/01/25 00:00:00+00,Meat Market,13383,-78.56526425,35.80114582,M,
4674413,04092021731,CARLIE C'S SEAFOOD,4111 NEW BERN AVE ,,RALEIGH,NC,27610-1372,(919) 250-7876,2013/01/25 00:00:00+00,Food Stand,13384,-78.56526425,35.80114582,M,
4674414,04092016243,SNACK SHOP,4101 NC-HWY 55 ,,CARY,NC,27519,(919) 380-8403,2012/09/12 00:00:00+00,Restaurant,13374,-78.87450918,35.82401506,M,
4674415,04092021733,CARLIE C'S PRODUCE,4111 NEW BERN AVE ,,RALEIGH,NC,27610-1372,(919) 250-7876,2013/01/25 00:00:00+00,Food Stand,13386,-78.56526425,35.80114582,M,
4674416,04092016253,TEXAS STEAKHOUSE AND SALOON,948 AIRPORT BLVD,,MORRISVILLE,NC,27560-9193,(919) 468-7194,2012/09/25 00:00:00+00,Restaurant,13378,-78.82133466,35.85750382,M,
4674417,04092016353,BUFFALO BROTHERS,11735  RETAIL DR ,,WAKE FOREST,NC,27587,(919) 570-6004,2013/01/14 00:00:00+00,Restaurant,13390,-78.54322367,35.96793437,M,
4674418,04092016356,Brewster's Pub,1885 Lake Pine DR ,,CARY,NC,27511,(919) 650-1270,2013/01/25 00:00:00+00,Restaurant,13420,-78.81900333,35.7452121,M,
4674419,04092016358,SHEETZ #505,1895  S FRANKLIN ST ,,WAKE FOREST,NC,27587,(919) 556-6221,2013/01/30 00:00:00+00,Restaurant,13422,-78.50852192,35.95034047,M,
4674420,04092300262,TODAY ASIA MARKET,1207 KILDAIRE FARM  RD ,,CARY,NC,27511,(919) 380-0588,2013/01/14 00:00:00+00,Meat Market,13424,-78.78219418,35.76380551,M,
4674421,04092021734,TARGET CAFE,100 GRAND HILL  PL ,,HOLLY SPRINGS,NC,27540,(919) 557-2686,2013/01/24 00:00:00+00,Food Stand,13425,-78.85156116,35.66046795,M,
4674422,04092016364,CHOPSTIX,5607 CREEDMOOR RD ,,RALEIGH,NC,27612,(919) 781-6268,2013/01/29 00:00:00+00,Restaurant,13434,-78.68200654,35.85879308,M,
4674423,04092016365,SHEETZ #507,7900 FAYETTEVILLE  RD ,,RALEIGH,NC,27603,(919) 329-0707,2013/01/30 00:00:00+00,Restaurant,13435,-78.69848171,35.66674111,M,
4674424,04092016367,AGAVE MEXICAN BAR & GRILL,18 W THIRD ST ,,WENDELL,NC,27591,(919) 365-0069,2013/01/30 00:00:00+00,Restaurant,13437,-78.37068381,35.78150866,M,
4674425,04092016366,SAINTS AND SCHOLARS IRISH PUB,909 SPRING FOREST RD ,STE 106,RALEIGH,NC,27609,(919) 878-8828,2013/01/30 00:00:00+00,Restaurant,13436,-78.62312498,35.86765564,M,
4674426,04092016372,ORCHID JAPANESE RESTAURANT,7432 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 890-5345,2013/02/13 00:00:00+00,Restaurant,13470,-78.67810638,35.88786089,M,
4674427,04092016377,LEE'S KITCHEN #2,1100 N RALEIGH BLVD ,,RALEIGH,NC,27610,(919) 521-5957,2013/02/20 00:00:00+00,Restaurant,13475,-78.61144573,35.79422483,M,
4674428,04092016381,POPEYES #11378,1701 PINEWINDS DR ,,RALEIGH,NC,27603,(919) 329-0069,2013/03/04 00:00:00+00,Restaurant,13497,-78.65506564,35.71643877,M,
4674429,04092016380,HIBERNIAN PUB & RESTAURANT,8021 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 803-0290,2013/03/01 00:00:00+00,Restaurant,13494,-78.62452738,35.89404532,M,
4674430,04092016386,Buffalo Wild Wings #439,121 Grand Hill PL ,,HOLLY SPRINGS,NC,27540,(919) 577-0450,2013/03/12 00:00:00+00,Restaurant,13507,-78.84947984,35.66266429,M,
4674431,04092016387,THE HAT RACK (RED HAT 9TH FLOOR),100 E DAVIE ST ,,RALEIGH,NC,27601,(919) 301-3062,2013/03/13 00:00:00+00,Restaurant,13508,-78.63762465,35.77518083,M,
4674432,04092021737,Hustle House,200 Soccer Park DR ,,CARY,NC,27511,(919) 452-8931,2013/02/20 00:00:00+00,Food Stand,13502,-78.75415418,35.78747322,M,
4674433,04092016389,JERSEY MIKES SUBS #3132,2712 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 615-3157,2013/03/19 00:00:00+00,Restaurant,13510,-78.6717023,35.78888791,M,
4674434,04092016391,MOE'S SOUTHWEST GRILL #838,770  W WILLIAMS ST ,,APEX,NC,27502,(919) 303-0061,2013/03/20 00:00:00+00,Restaurant,13512,-78.86276232,35.73802969,M,
4674435,04092040286,LAMM'S HOT DOG CART (WCID#441),409 US 70 HWY E ,AGRI SUPPLY,GARNER,NC,27529,(919) 772-9670,2013/02/28 00:00:00+00,Pushcarts,13520,-78.59444591,35.70135393,M,
4674436,04092016405,THE COWFISH,4208 SIX FORKS  RD ,STE 100,RALEIGH,NC,27609,(919) 784-0400,2013/04/05 00:00:00+00,Restaurant,13533,-78.63994698,35.83691241,M,
4674437,04092016416,Jasmin & Olivz,424 E SIX FORKS RD ,STE 101,RALEIGH,NC,27609,(919) 743-3336,2013/04/25 00:00:00+00,Restaurant,13567,-78.62602306,35.82001966,M,
4674438,04092016417,SUBWAY #57757,2020 HILLSBOROUGH ST ,STE 102,RALEIGH,NC,27607,(919) 322-2015,2013/05/30 00:00:00+00,Restaurant,13568,-78.66276463,35.78662875,M,
